id,sexo,nascimento_anomes,data_nascimento
aluno_0000252,M,2023-09,
aluno_0000253,F,2023-09,
aluno_0000254,M,2023-09,
aluno_0000255,F,2023-09,
aluno_0000256,M,2023-09,
aluno_0000257,F,2023-09,
aluno_0000258,F,2023-09,
aluno_0000259,F,2023-09,
aluno_0000260,M,2023-08,
aluno_0000261,F,2023-09,
aluno_0000262,M,2023-09,
aluno_0000263,F,2023-09,
aluno_0000264,M,2023-09,
aluno_0000265,M,2023-09,
aluno_0000266,M,2023-09,
aluno_0000267,M,2023-10,
aluno_0000268,M,2023-09,
aluno_0000269,F,2023-08,
aluno_0000270,F,2020-11,
aluno_0000271,M,2023-09,
aluno_0000272,M,2023-09,
aluno_0000273,M,2022-03,
aluno_0000274,F,2023-09,
aluno_0000275,M,2023-09,
aluno_0000276,M,2023-09,
aluno_0000277,M,2023-09,
aluno_0000278,M,2023-09,
aluno_0000279,F,2023-09,
aluno_0000280,F,2023-06,
aluno_0000281,F,2023-09,
aluno_0000282,M,2023-09,
aluno_0000283,M,2023-09,
aluno_0000284,M,2023-09,
aluno_0000285,M,2023-09,
aluno_0000286,M,2023-09,
aluno_0000287,F,2023-09,
aluno_0000288,F,2023-09,
aluno_0000289,F,2023-09,
aluno_0000290,F,2023-09,
aluno_0000291,F,2023-09,
aluno_0000292,F,2023-09,
aluno_0000293,M,2023-09,
aluno_0000294,F,2023-09,
aluno_0000295,F,2023-09,
aluno_0000296,F,2023-09,
aluno_0000297,M,2023-09,
aluno_0000298,F,2023-09,
aluno_0000299,F,2023-09,
aluno_0000300,M,2023-09,
aluno_0000301,M,2023-09,
aluno_0000302,F,2023-09,
aluno_0000303,F,2023-09,
aluno_0000304,F,2023-09,
aluno_0000305,F,2023-09,
aluno_0000306,F,2023-09,
aluno_0000307,M,2023-09,
aluno_0000308,M,2023-09,
aluno_0000309,M,2023-09,
aluno_0000310,M,2020-09,
aluno_0000311,F,2023-09,
aluno_0000312,M,2023-09,
aluno_0000313,M,2023-09,
aluno_0000314,M,2023-09,
aluno_0000315,M,2023-09,
aluno_0000316,F,2023-09,
aluno_0000317,F,2023-09,
aluno_0000318,M,2023-09,
aluno_0000319,M,2023-09,
aluno_0000320,F,2023-09,
aluno_0000321,M,2023-09,
aluno_0000322,F,2023-09,
aluno_0000323,F,2023-09,
aluno_0000324,M,2023-09,
aluno_0000325,F,2023-09,
aluno_0000326,M,2023-09,
aluno_0000327,F,2023-10,
aluno_0000328,M,2023-09,
aluno_0000329,F,2023-09,
aluno_0000330,M,2023-09,
aluno_0000331,F,2023-09,
aluno_0000332,M,2023-09,
aluno_0000333,F,2023-09,
aluno_0000334,F,2023-09,
aluno_0000335,M,2023-09,
aluno_0000336,M,2023-09,
aluno_0000337,F,2023-09,
aluno_0000338,F,2023-09,
aluno_0000339,M,2023-09,
aluno_0000340,M,2023-09,
aluno_0000341,F,2023-09,
aluno_0000342,M,2023-09,
aluno_0000343,M,2023-09,
aluno_0000344,M,2023-09,
aluno_0000345,F,2023-09,
aluno_0000346,F,2023-09,
aluno_0000347,M,2023-09,
aluno_0000348,M,2023-09,
aluno_0000349,M,2023-09,
aluno_0000350,F,2023-09,
aluno_0000351,M,2020-11,
aluno_0000352,M,2023-09,
aluno_0000353,M,2023-09,
aluno_0000354,M,2023-09,
aluno_0000355,F,2023-09,
aluno_0000356,F,2023-09,
aluno_0000357,F,2023-09,
aluno_0000358,M,2023-09,
aluno_0000359,F,2023-09,
aluno_0000360,F,2023-08,
aluno_0000361,F,2023-09,
aluno_0000362,F,2023-09,
aluno_0000363,M,2023-09,
aluno_0000364,F,2023-09,
aluno_0000365,M,2023-09,
aluno_0000366,M,2023-09,
aluno_0000367,M,2023-09,
aluno_0000368,M,2023-09,
aluno_0000369,M,2023-09,
aluno_0000370,F,2023-09,
aluno_0000371,M,2023-09,
aluno_0000372,M,2023-09,
aluno_0000373,F,2023-09,
aluno_0000374,M,2023-09,
aluno_0000375,M,2020-07,
aluno_0000376,F,2023-09,
aluno_0000377,M,2023-09,
aluno_0000378,M,2023-09,
aluno_0000379,M,2021-01,
aluno_0000380,F,2023-10,
aluno_0000381,F,2023-09,
aluno_0000382,M,2023-09,
aluno_0000383,M,2023-09,
aluno_0000384,F,2023-09,
aluno_0000385,M,2023-09,
aluno_0000386,F,2023-09,
aluno_0000387,F,2023-09,
aluno_0000388,F,2023-09,
aluno_0000389,M,2023-09,
aluno_0000390,F,2023-07,
aluno_0000391,F,2023-09,
aluno_0000392,M,2023-09,
aluno_0000393,M,2023-09,
aluno_0000394,F,2023-09,
aluno_0000395,F,2023-09,
aluno_0000396,M,2023-09,
aluno_0000397,M,2023-09,
aluno_0000398,F,2023-09,
aluno_0000399,M,2023-10,
aluno_0000400,F,2023-09,
aluno_0000401,F,2023-10,
aluno_0000402,M,2023-09,
aluno_0000403,M,2023-09,
aluno_0000404,M,2023-09,
aluno_0000405,F,2023-09,
aluno_0000406,F,2023-09,
aluno_0000407,M,2023-09,
aluno_0000408,F,2023-10,
aluno_0000409,M,2023-09,
aluno_0000410,F,2023-09,
aluno_0000411,F,2023-09,
aluno_0000412,F,2023-09,
aluno_0000413,M,2023-09,
aluno_0000414,F,2023-09,
aluno_0000415,F,2023-09,
aluno_0000416,F,2023-09,
aluno_0000417,M,2023-09,
aluno_0000418,F,2023-09,
aluno_0000419,M,2023-09,
aluno_0000420,F,2023-09,
aluno_0000421,F,2023-09,
aluno_0000422,M,2023-09,
aluno_0000423,M,2023-09,
aluno_0000424,F,2023-07,
aluno_0000425,M,2023-09,
aluno_0000426,F,2023-09,
aluno_0000427,F,2023-09,
aluno_0000428,M,2023-09,
aluno_0000429,M,2023-09,
aluno_0000430,F,2023-09,
aluno_0000431,F,2023-09,
aluno_0000432,M,2023-09,
aluno_0000433,F,2023-09,
aluno_0000434,M,2023-09,
aluno_0000435,M,2023-09,
aluno_0000436,F,2023-09,
aluno_0000437,M,2023-09,
aluno_0000438,M,2023-09,
aluno_0000439,M,2023-09,
aluno_0000440,F,2023-09,
aluno_0000441,M,2023-09,
aluno_0000442,M,2023-05,
aluno_0000443,M,2023-09,
aluno_0000444,M,2023-09,
aluno_0000445,F,2023-09,
aluno_0000446,F,2023-09,
aluno_0000447,M,2023-09,
aluno_0000448,M,2023-09,
aluno_0000449,M,2023-09,
aluno_0000450,M,2023-08,
aluno_0000451,F,2023-09,
aluno_0000452,F,2023-09,
aluno_0000453,M,2023-09,
aluno_0000454,M,2023-09,
aluno_0000455,F,2023-09,
aluno_0000456,M,2023-09,
aluno_0000457,M,2023-07,
aluno_0000458,M,2023-09,
aluno_0000459,F,2023-10,
aluno_0000460,M,2023-09,
aluno_0000461,F,2023-09,
aluno_0000462,F,2023-09,
aluno_0000463,F,2023-09,
aluno_0000464,M,2023-09,
aluno_0000465,F,2023-09,
aluno_0000466,M,2023-09,
aluno_0000467,F,2023-09,
aluno_0000468,M,2023-09,
aluno_0000469,M,2023-09,
aluno_0000470,F,2023-09,
aluno_0000471,M,2023-09,
aluno_0000472,M,2023-09,
aluno_0000473,M,2023-08,
aluno_0000474,M,2023-09,
aluno_0000475,M,2023-09,
aluno_0000476,F,2023-09,
aluno_0000477,M,2023-09,
aluno_0000478,M,2023-09,
aluno_0000479,M,2023-09,
aluno_0000480,F,2023-09,
aluno_0000481,M,2023-09,
aluno_0000482,M,2023-09,
aluno_0000483,M,2023-09,
aluno_0000484,M,2023-09,
aluno_0000485,M,2023-09,
aluno_0000486,F,2023-09,
aluno_0000487,F,2023-09,
aluno_0000488,M,2023-09,
aluno_0000489,F,2023-09,
aluno_0000490,M,2023-09,
aluno_0000491,F,2023-09,
aluno_0000492,M,2023-06,
aluno_0000493,M,2023-09,
aluno_0000494,F,2023-09,
aluno_0000495,M,2023-09,
aluno_0000496,F,2023-10,
aluno_0000497,F,2023-09,
aluno_0000498,M,2023-09,
aluno_0000499,F,2023-10,
aluno_0000500,M,2023-09,
aluno_0000501,F,2023-10,
aluno_0000502,F,2023-09,
aluno_0000503,M,2023-09,
aluno_0000504,M,2023-09,
aluno_0000505,M,2023-10,
aluno_0000506,M,2023-09,
aluno_0000507,F,2023-09,
aluno_0000508,F,2023-09,
aluno_0000509,M,2023-09,
aluno_0000510,F,2023-09,
aluno_0000511,F,2023-10,
aluno_0000512,M,2023-09,
aluno_0000513,M,2023-09,
aluno_0000514,M,2023-09,
aluno_0000515,F,2023-09,
aluno_0000516,F,2023-09,
aluno_0000517,M,2023-09,
aluno_0000518,F,2023-09,
aluno_0000519,F,2023-09,
aluno_0000520,F,2023-09,
aluno_0000521,F,2023-08,
aluno_0000522,F,2023-09,
aluno_0000523,F,2023-10,
aluno_0000524,M,2023-10,
aluno_0000525,F,2023-09,
aluno_0000526,F,2023-09,
aluno_0000527,M,2023-09,
aluno_0000528,F,2023-09,
aluno_0000529,F,2023-10,
aluno_0000530,F,2023-09,
aluno_0000531,M,2023-09,
aluno_0000532,M,2023-09,
aluno_0000533,F,2023-01,
aluno_0000534,M,2023-10,
aluno_0000535,F,2023-09,
aluno_0000536,M,2023-09,
aluno_0000537,M,2023-09,
aluno_0000538,F,2023-09,
aluno_0000539,M,2023-09,
aluno_0000540,M,2023-09,
aluno_0000541,M,2023-09,
aluno_0000542,F,2023-09,
aluno_0000543,F,2023-09,
aluno_0000544,M,2023-09,
aluno_0000545,F,2023-09,
aluno_0000546,F,2023-09,
aluno_0000547,F,2023-09,
aluno_0000548,M,2023-09,
aluno_0000549,F,2023-09,
aluno_0000550,F,2023-09,
aluno_0000551,M,2023-10,
aluno_0000552,F,2023-09,
aluno_0000553,M,2023-09,
aluno_0000554,M,2022-08,
aluno_0000555,F,2023-09,
aluno_0000556,M,2023-10,
aluno_0000557,F,2023-09,
aluno_0000558,F,2023-09,
aluno_0000559,F,2023-09,
aluno_0000560,M,2023-09,
aluno_0000561,M,2023-09,
aluno_0000562,M,2023-09,
aluno_0000563,F,2023-09,
aluno_0000564,F,2023-11,
aluno_0000565,F,2023-11,
aluno_0000566,M,2023-09,
aluno_0000567,M,2023-09,
aluno_0000568,M,2023-09,
aluno_0000569,F,2023-09,
aluno_0000570,F,2023-09,
aluno_0000571,M,2023-11,
aluno_0000572,M,2023-09,
aluno_0000573,F,2023-09,
aluno_0000574,F,2023-09,
aluno_0000575,F,2023-09,
aluno_0000576,F,2023-09,
aluno_0000577,M,2023-09,
aluno_0000578,F,2023-08,
aluno_0000579,F,2023-09,
aluno_0000580,F,2023-09,
aluno_0000581,M,2023-09,
aluno_0000582,M,2023-09,
aluno_0000583,M,2023-09,
aluno_0000584,M,2023-09,
aluno_0000585,F,2023-09,
aluno_0000586,M,2023-09,
aluno_0000587,F,2023-09,
aluno_0000588,M,2023-09,
aluno_0000589,F,2023-09,
aluno_0000590,F,2023-09,
aluno_0000591,F,2023-10,
aluno_0000592,M,2023-11,
aluno_0000593,M,2023-09,
aluno_0000594,M,2023-09,
aluno_0000595,M,2023-09,
aluno_0000596,F,2023-09,
aluno_0000597,F,2023-09,
aluno_0000598,M,2023-09,
aluno_0000599,F,2023-09,
aluno_0000600,F,2023-09,
aluno_0000601,F,2023-09,
aluno_0000602,M,2023-09,
aluno_0000603,F,2023-09,
aluno_0000604,M,2023-09,
aluno_0000605,F,2023-09,
aluno_0000606,M,2023-09,
aluno_0000607,F,2023-09,
aluno_0000608,M,2023-10,
aluno_0000609,M,2023-09,
aluno_0000610,M,2023-09,
aluno_0000611,F,2023-09,
aluno_0000612,M,2023-09,
aluno_0000613,F,2023-09,
aluno_0000614,F,2023-10,
aluno_0000615,M,2023-09,
aluno_0000616,M,2023-09,
aluno_0000617,M,2023-09,
aluno_0000618,F,2023-10,
aluno_0000619,M,2023-09,
aluno_0000620,M,2023-10,
aluno_0000621,M,2023-10,
aluno_0000622,F,2023-09,
aluno_0000623,M,2023-09,
aluno_0000624,M,2023-10,
aluno_0000625,M,2023-09,
aluno_0000626,F,2023-10,
aluno_0000627,M,2023-10,
aluno_0000628,F,2023-10,
aluno_0000629,F,2023-10,
aluno_0000630,F,2023-10,
aluno_0000631,M,2023-09,
aluno_0000632,F,2023-10,
aluno_0000633,M,2023-09,
aluno_0000634,M,2023-09,
aluno_0000635,M,2023-10,
aluno_0000636,M,2023-09,
aluno_0000637,M,2023-10,
aluno_0000638,F,2023-09,
aluno_0000639,F,2023-10,
aluno_0000640,M,2023-09,
aluno_0000641,M,2023-10,
aluno_0000642,M,2023-09,
aluno_0000643,M,2023-09,
aluno_0000644,M,2023-09,
aluno_0000645,F,2020-11,
aluno_0000646,F,2023-09,
aluno_0000647,F,2023-09,
aluno_0000648,M,2023-09,
aluno_0000649,F,2022-02,
aluno_0000650,M,2023-09,
aluno_0000651,F,2023-09,
aluno_0000652,M,2023-09,
aluno_0000653,M,2023-07,
aluno_0000654,F,2023-09,
aluno_0000655,M,2023-08,
aluno_0000656,F,2023-10,
aluno_0000657,M,2023-10,
aluno_0000658,F,2023-09,
aluno_0000659,F,2023-09,
aluno_0000660,F,2023-10,
aluno_0000661,M,2023-09,
aluno_0000662,F,2023-10,
aluno_0000663,F,2023-10,
aluno_0000664,M,2022-12,
aluno_0000665,F,2023-10,
aluno_0000666,M,2023-10,
aluno_0000667,M,2023-09,
aluno_0000668,F,2023-10,
aluno_0000669,M,2023-09,
aluno_0000670,M,2023-10,
aluno_0000671,F,2023-10,
aluno_0000672,F,2023-09,
aluno_0000673,F,2023-10,
aluno_0000674,F,2023-09,
aluno_0000675,M,2023-10,
aluno_0000676,F,2023-10,
aluno_0000677,F,2023-09,
aluno_0000678,M,2023-09,
aluno_0000679,F,2023-10,
aluno_0000680,M,2023-09,
aluno_0000681,M,2023-09,
aluno_0000682,M,2023-09,
aluno_0000683,M,2023-10,
aluno_0000684,M,2023-10,
aluno_0000685,F,2023-09,
aluno_0000686,F,2022-12,
aluno_0000687,M,2023-10,
aluno_0000688,F,2023-10,
aluno_0000689,F,2022-08,
aluno_0000690,M,2023-09,
aluno_0000691,M,2023-10,
aluno_0000692,F,2023-09,
aluno_0000693,M,2023-09,
aluno_0000694,M,2023-10,
aluno_0000695,F,2023-10,
aluno_0000696,F,2023-09,
aluno_0000697,F,2023-10,
aluno_0000698,M,2023-10,
aluno_0000699,F,2023-09,
aluno_0000700,F,2023-10,
aluno_0000701,M,2023-09,
aluno_0000702,M,2023-10,
aluno_0000703,F,2023-10,
aluno_0000704,M,2023-09,
aluno_0000705,M,2023-10,
aluno_0000706,F,2022-01,
aluno_0000707,F,2023-10,
aluno_0000708,M,2023-10,
aluno_0000709,M,2023-10,
aluno_0000710,M,2023-10,
aluno_0000711,M,2023-10,
aluno_0000712,M,2023-09,
aluno_0000713,F,2023-04,
aluno_0000714,M,2023-10,
aluno_0000715,F,2022-04,
aluno_0000716,F,2023-09,
aluno_0000717,M,2023-09,
aluno_0000718,F,2023-10,
aluno_0000719,M,2020-07,
aluno_0000720,F,2023-10,
aluno_0000721,F,2023-10,
aluno_0000722,F,2023-09,
aluno_0000723,M,2023-09,
aluno_0000724,M,2023-09,
aluno_0000725,M,2023-10,
aluno_0000726,M,2023-07,
aluno_0000727,M,2022-10,
aluno_0000728,M,2023-10,
aluno_0000729,M,2023-10,
aluno_0000730,M,2023-09,
aluno_0000731,M,2023-05,
aluno_0000732,M,2023-09,
aluno_0000733,M,2023-10,
aluno_0000734,M,2023-09,
aluno_0000735,M,2023-10,
aluno_0000736,F,2023-10,
aluno_0000737,F,2023-10,
aluno_0000738,M,2023-10,
aluno_0000739,M,2022-04,
aluno_0000740,F,2023-09,
aluno_0000741,M,2023-10,
aluno_0000742,M,2023-10,
aluno_0000743,M,2023-10,
aluno_0000744,F,2023-10,
aluno_0000745,M,2023-10,
aluno_0000746,M,2023-10,
aluno_0000747,M,2023-09,
aluno_0000748,F,2023-10,
aluno_0000749,F,2023-09,
aluno_0000750,F,2023-10,
aluno_0000751,F,2023-09,
aluno_0000752,M,2021-09,
aluno_0000753,F,2023-10,
aluno_0000754,F,2023-10,
aluno_0000755,F,2023-10,
aluno_0000756,M,2023-10,
aluno_0000757,M,2023-10,
aluno_0000758,M,2023-10,
aluno_0000759,M,2023-04,
aluno_0000760,M,2023-09,
aluno_0000761,F,2023-10,
aluno_0000762,F,2023-09,
aluno_0000763,M,2023-09,
aluno_0000764,F,2023-10,
aluno_0000765,F,2023-10,
aluno_0000766,M,2023-10,
aluno_0000767,F,2023-09,
aluno_0000768,M,2023-09,
aluno_0000769,M,2023-08,
aluno_0000770,F,2023-10,
aluno_0000771,M,2023-09,
aluno_0000772,M,2023-09,
aluno_0000773,M,2023-09,
aluno_0000774,M,2023-10,
aluno_0000775,M,2023-09,
aluno_0000776,F,2023-09,
aluno_0000777,F,2023-10,
aluno_0000778,M,2023-10,
aluno_0000779,F,2023-10,
aluno_0000780,M,2023-09,
aluno_0000781,M,2023-09,
aluno_0000782,M,2023-10,
aluno_0000783,M,2023-10,
aluno_0000784,M,2023-10,
aluno_0000785,F,2023-10,
aluno_0000786,M,2023-06,
aluno_0000787,M,2023-10,
aluno_0000788,M,2023-10,
aluno_0000789,M,2023-10,
aluno_0000790,M,2023-09,
aluno_0000791,F,2023-09,
aluno_0000792,M,2023-09,
aluno_0000793,M,2023-09,
aluno_0000794,M,2023-10,
aluno_0000795,F,2022-07,
aluno_0000796,M,2023-09,
aluno_0000797,M,2023-09,
aluno_0000798,F,2023-10,
aluno_0000799,M,2023-10,
aluno_0000800,F,2023-09,
aluno_0000801,M,2023-09,
aluno_0000802,F,2023-10,
aluno_0000803,F,2021-07,
aluno_0000804,F,2023-10,
aluno_0000805,F,2023-12,
aluno_0000806,F,2023-10,
aluno_0000807,M,2023-09,
aluno_0000808,M,2023-09,
aluno_0000809,F,2023-09,
aluno_0000810,F,2023-10,
aluno_0000811,M,2023-10,
aluno_0000812,F,2022-02,
aluno_0000813,M,2023-09,
aluno_0000814,M,2023-12,
aluno_0000815,F,2022-12,
aluno_0000816,F,2023-10,
aluno_0000817,F,2023-10,
aluno_0000818,M,2023-10,
aluno_0000819,M,2023-10,
aluno_0000820,F,2023-10,
aluno_0000821,M,2023-07,
aluno_0000822,M,2023-09,
aluno_0000823,F,2023-10,
aluno_0000824,F,2023-06,
aluno_0000825,F,2023-10,
aluno_0000826,F,2023-09,
aluno_0000827,F,2023-10,
aluno_0000828,F,2023-10,
aluno_0000829,M,2023-10,
aluno_0000830,F,2023-10,
aluno_0000831,M,2023-12,
aluno_0000832,M,2023-09,
aluno_0000833,M,2023-09,
aluno_0000834,M,2023-10,
aluno_0000835,F,2023-10,
aluno_0000836,F,2023-12,
aluno_0000837,F,2023-10,
aluno_0000838,F,2023-10,
aluno_0000839,F,2023-09,
aluno_0000840,F,2023-09,
aluno_0000841,M,2023-10,
aluno_0000842,M,2023-10,
aluno_0000843,M,2023-12,
aluno_0000844,M,2023-10,
aluno_0000845,F,2023-10,
aluno_0000846,M,2023-09,
aluno_0000847,F,2023-09,
aluno_0000848,F,2023-10,
aluno_0000849,M,2023-10,
aluno_0000850,M,2023-09,
aluno_0000851,M,2023-10,
aluno_0000852,M,2023-09,
aluno_0000853,M,2023-10,
aluno_0000854,M,2021-04,
aluno_0000855,F,2023-10,
aluno_0000856,F,2022-12,
aluno_0000857,M,2024-01,
aluno_0000858,M,2023-09,
aluno_0000859,M,2023-10,
aluno_0000860,M,2023-10,
aluno_0000861,M,2023-09,
aluno_0000862,M,2023-10,
aluno_0000863,M,2023-09,
aluno_0000864,M,2023-10,
aluno_0000865,F,2023-10,
aluno_0000866,M,2023-09,
aluno_0000867,F,2023-09,
aluno_0000868,M,2023-09,
aluno_0000869,M,2023-01,
aluno_0000870,M,2023-11,
aluno_0000871,F,2023-10,
aluno_0000872,F,2023-10,
